"Gene > Proteins > Systematic Name","Gene > Proteins > Standard Name","Gene > Proteins > Protein Domains > Name","Gene > Proteins > Protein Domains > Description","Gene > Proteins > Protein Domains > Start","Gene > Proteins > Protein Domains > End","Gene > Proteins > Protein Domains > Method","Gene > Proteins > Protein Domains > Id"
"Q0070","Ai5_Alphap","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","235","256","PRINTS","1984808"
"Q0070","Ai5_Alphap","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","281","296","PRINTS","1984809"
"Q0070","Ai5_Alphap","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","305","326","PRINTS","1984810"
"Q0070","Ai5_Alphap","PS00077","COX1_CUB; Cytochrome c oxidase, subunit I, copper-binding site","237","291","PROSITE","1984811"
"Q0070","Ai5_Alphap","PS50855","COX1; Cytochrome c oxidase-like, subunit I domain","1","326","PROSITE","1984812"
"Q0070","Ai5_Alphap","PTHR10422","Cytochrome c oxidase subunit I","1","595","PANTHER","1984813"
"Q0070","Ai5_Alphap","PTHR10422:SF30","","1","595","PANTHER","1984814"
"Q0070","Ai5_Alphap","SSF55608","Homing endonuclease","413","617","SUPERFAMILY","1984815"
"Q0070","Ai5_Alphap","SSF81442","Cytochrome c oxidase-like, subunit I domain","3","327","SUPERFAMILY","1984816"
"Q0075","Ai5_Betap","G3DSA:3.10.28.10","Homing endonuclease","78","184","GENE3D","1984790"
"Q0075","Ai5_Betap","G3DSA:3.10.28.10","Homing endonuclease","189","353","GENE3D","1984791"
"Q0075","Ai5_Betap","PF00961","LAGLIDADG_1; Homing endonuclease, LAGLIDADG","201","296","Pfam","1984792"
"Q0075","Ai5_Betap","PTHR36181","","17","349","PANTHER","1984793"
"Q0075","Ai5_Betap","PTHR36181:SF3","","17","349","PANTHER","1984794"
"Q0075","Ai5_Betap","SSF55608","Homing endonuclease","88","190","SUPERFAMILY","1984795"
"Q0075","Ai5_Betap","SSF55608","Homing endonuclease","195","319","SUPERFAMILY","1984796"
"Q0080","Atp8p","PF05933","Fun_ATP-synt_8; ATP synthase protein 8, fungi","1","48","Pfam","1939611"
"Q0080","Atp8p","PTHR36101","","1","48","PANTHER","1939612"
"Q0080","Atp8p","PTHR36101:SF2","","1","48","PANTHER","1939613"
"Q0085","Atp6p","G3DSA:1.20.120.220","ATP synthase, F0 complex, subunit A","71","259","GENE3D","1939600"
"Q0085","Atp6p","MF_01393","ATP_synth_a_bact; ATP synthase, F0 complex, subunit A","14","259","HAMAP","1939601"
"Q0085","Atp6p","PF00119","ATP-synt_A; ATP synthase, F0 complex, subunit A","41","252","Pfam","1939602"
"Q0085","Atp6p","PR00123","ATPASEA; ATP synthase, F0 complex, subunit A","98","114","PRINTS","1939603"
"Q0085","Atp6p","PR00123","ATPASEA; ATP synthase, F0 complex, subunit A","159","174","PRINTS","1939604"
"Q0085","Atp6p","PR00123","ATPASEA; ATP synthase, F0 complex, subunit A","179","201","PRINTS","1939605"
"Q0085","Atp6p","PR00123","ATPASEA; ATP synthase, F0 complex, subunit A","239","254","PRINTS","1939606"
"Q0085","Atp6p","PS00449","ATPASE_A; ATP synthase, F0 complex, subunit A, active site","182","191","PROSITE","1939607"
"Q0085","Atp6p","PTHR11410","","1","256","PANTHER","1939608"
"Q0085","Atp6p","SSF81336","ATP synthase, F0 complex, subunit A","89","252","SUPERFAMILY","1939609"
"Q0085","Atp6p","TIGR01131","ATP_synt_6_or_A; ATP synthase, F0 complex, subunit A","13","255","TIGRFAM","1939610"
"Q0105","Cobp","G3DSA:1.20.810.10","Cytochrome b/b6-like domain","1","385","GENE3D","1939242"
"Q0105","Cobp","PF00032","Cytochrom_B_C; Cytochrome b/b6, C-terminal","259","360","Pfam","1939243"
"Q0105","Cobp","PF00033","Cytochrome_B; Cytochrome b/b6, N-terminal","18","204","Pfam","1939244"
"Q0105","Cobp","PIRSF038885","COB; Cytochrome b","2","385","PIRSF","1939245"
"Q0105","Cobp","PS51002","CYTB_NTER; Cytochrome b/b6, N-terminal","1","210","PROSITE","1939246"
"Q0105","Cobp","PS51003","CYTB_CTER; Cytochrome b/b6, C-terminal","211","381","PROSITE","1939247"
"Q0105","Cobp","PTHR19271","","1","377","PANTHER","1939248"
"Q0105","Cobp","PTHR19271:SF14","","1","377","PANTHER","1939249"
"Q0105","Cobp","SSF81342","Di-haem cytochrome, transmembrane","3","261","SUPERFAMILY","1939250"
"Q0105","Cobp","SSF81648","Cytochrome b/b6, C-terminal","262","382","SUPERFAMILY","1939251"
"Q0110","Bi2p","G3DSA:1.20.810.10","Cytochrome b/b6-like domain","1","171","GENE3D","1940011"
"Q0110","Bi2p","G3DSA:3.10.28.10","Homing endonuclease","191","315","GENE3D","1940012"
"Q0110","Bi2p","G3DSA:3.10.28.10","Homing endonuclease","323","422","GENE3D","1940013"
"Q0110","Bi2p","PF00033","Cytochrome_B; Cytochrome b/b6, N-terminal","18","169","Pfam","1940014"
"Q0110","Bi2p","PF03161","LAGLIDADG_2; Homing endonuclease, LAGLIDADG","224","403","Pfam","1940015"
"Q0110","Bi2p","PS51002","CYTB_NTER; Cytochrome b/b6, N-terminal","1","215","PROSITE","1940016"
"Q0110","Bi2p","PTHR19271","","1","418","PANTHER","1940017"
"Q0110","Bi2p","PTHR19271:SF14","","1","418","PANTHER","1940018"
"Q0110","Bi2p","SSF55608","Homing endonuclease","211","420","SUPERFAMILY","1940019"
"Q0110","Bi2p","SSF81342","Di-haem cytochrome, transmembrane","3","173","SUPERFAMILY","1940020"
"Q0115","Bi3p","G3DSA:1.20.810.10","Cytochrome b/b6-like domain","1","258","GENE3D","1984778"
"Q0115","Bi3p","G3DSA:3.10.28.10","Homing endonuclease","259","383","GENE3D","1984779"
"Q0115","Bi3p","G3DSA:3.10.28.10","Homing endonuclease","384","517","GENE3D","1984780"
"Q0115","Bi3p","PF00033","Cytochrome_B; Cytochrome b/b6, N-terminal","18","199","Pfam","1984781"
"Q0115","Bi3p","PF00961","LAGLIDADG_1; Homing endonuclease, LAGLIDADG","269","367","Pfam","1984782"
"Q0115","Bi3p","PF00961","LAGLIDADG_1; Homing endonuclease, LAGLIDADG","405","499","Pfam","1984783"
"Q0115","Bi3p","PS51002","CYTB_NTER; Cytochrome b/b6, N-terminal","1","219","PROSITE","1984784"
"Q0115","Bi3p","PTHR19271","","1","501","PANTHER","1984785"
"Q0115","Bi3p","PTHR19271:SF14","","1","501","PANTHER","1984786"
"Q0115","Bi3p","SSF55608","Homing endonuclease","261","371","SUPERFAMILY","1984787"
"Q0115","Bi3p","SSF55608","Homing endonuclease","393","511","SUPERFAMILY","1984788"
"Q0115","Bi3p","SSF81342","Di-haem cytochrome, transmembrane","3","243","SUPERFAMILY","1984789"
"Q0120","Bi4p","G3DSA:1.20.810.10","Cytochrome b/b6-like domain","1","272","GENE3D","1940079"
"Q0120","Bi4p","G3DSA:3.10.28.10","Homing endonuclease","387","505","GENE3D","1940080"
"Q0120","Bi4p","G3DSA:3.10.28.10","Homing endonuclease","506","638","GENE3D","1940081"
"Q0120","Bi4p","PF00033","Cytochrome_B; Cytochrome b/b6, N-terminal","18","204","Pfam","1940082"
"Q0120","Bi4p","PF00961","LAGLIDADG_1; Homing endonuclease, LAGLIDADG","408","494","Pfam","1940083"
"Q0120","Bi4p","PF00961","LAGLIDADG_1; Homing endonuclease, LAGLIDADG","515","605","Pfam","1940084"
"Q0120","Bi4p","PS51002","CYTB_NTER; Cytochrome b/b6, N-terminal","1","210","PROSITE","1940085"
"Q0120","Bi4p","PTHR19271","","1","637","PANTHER","1940086"
"Q0120","Bi4p","PTHR19271:SF14","","1","637","PANTHER","1940087"
"Q0120","Bi4p","SSF55608","Homing endonuclease","400","506","SUPERFAMILY","1940088"
"Q0120","Bi4p","SSF55608","Homing endonuclease","509","613","SUPERFAMILY","1940089"
"Q0120","Bi4p","SSF81342","Di-haem cytochrome, transmembrane","3","253","SUPERFAMILY","1940090"
"Q0130","Oli1p","G3DSA:1.20.20.10","V-ATPase proteolipid subunit C-like domain","3","75","GENE3D","1973386"
"Q0130","Oli1p","MF_01396","ATP_synth_c_bact; ATP synthase, F0 complex, subunit C","5","73","HAMAP","1973387"
"Q0130","Oli1p","PF00137","ATP-synt_C; V-ATPase proteolipid subunit C-like domain","10","72","Pfam","1973388"
"Q0130","Oli1p","PR00124","ATPASEC; ATP synthase, F0 complex, subunit C","10","29","PRINTS","1973389"
"Q0130","Oli1p","PR00124","ATPASEC; ATP synthase, F0 complex, subunit C","31","46","PRINTS","1973390"
"Q0130","Oli1p","PR00124","ATPASEC; ATP synthase, F0 complex, subunit C","48","73","PRINTS","1973391"
"Q0130","Oli1p","PS00605","ATPASE_C; ATP synthase, F0 complex, subunit C, DCCD-binding site","38","59","PROSITE","1973392"
"Q0130","Oli1p","PTHR10031","ATP synthase, F0 complex, subunit C","2","74","PANTHER","1973393"
"Q0130","Oli1p","PTHR10031:SF16","","2","74","PANTHER","1973394"
"Q0130","Oli1p","SSF81333","V-ATPase proteolipid subunit C-like domain","2","74","SUPERFAMILY","1973395"
"Q0140","Var1p","PF05316","VAR1; Ribosomal protein VAR1","35","398","Pfam","1939880"
"Q0160","Sceip","G3DSA:3.10.28.10","Homing endonuclease","1","122","GENE3D","1940101"
"Q0160","Sceip","G3DSA:3.10.28.10","Homing endonuclease","123","235","GENE3D","1940102"
"Q0160","Sceip","PF03161","LAGLIDADG_2; Homing endonuclease, LAGLIDADG","36","206","Pfam","1940103"
"Q0160","Sceip","SSF55608","Homing endonuclease","22","225","SUPERFAMILY","1940104"
"Q0250","Cox2p","G3DSA:1.10.287.90","","18","111","GENE3D","1939354"
"Q0250","Cox2p","G3DSA:2.60.40.420","Cupredoxin","112","251","GENE3D","1939355"
"Q0250","Cox2p","PF00116","COX2; Cytochrome c oxidase subunit II-like C-terminal","115","239","Pfam","1939356"
"Q0250","Cox2p","PF02790","COX2_TM; Cytochrome C oxidase subunit II, transmembrane domain","17","103","Pfam","1939357"
"Q0250","Cox2p","PR01166","CYCOXIDASEII","77","89","PRINTS","1939358"
"Q0250","Cox2p","PR01166","CYCOXIDASEII","89","109","PRINTS","1939359"
"Q0250","Cox2p","PR01166","CYCOXIDASEII","111","130","PRINTS","1939360"
"Q0250","Cox2p","PR01166","CYCOXIDASEII","159","180","PRINTS","1939361"
"Q0250","Cox2p","PR01166","CYCOXIDASEII","183","203","PRINTS","1939362"
"Q0250","Cox2p","PR01166","CYCOXIDASEII","203","220","PRINTS","1939363"
"Q0250","Cox2p","PR01166","CYCOXIDASEII","221","238","PRINTS","1939364"
"Q0250","Cox2p","PS00078","COX2; Copper centre Cu(A)","184","232","PROSITE","1939365"
"Q0250","Cox2p","PS50857","COX2_CUA; Cytochrome c oxidase subunit II-like C-terminal","112","250","PROSITE","1939366"
"Q0250","Cox2p","PS50999","COX2_TM; Cytochrome C oxidase subunit II, transmembrane domain","17","111","PROSITE","1939367"
"Q0250","Cox2p","PTHR22888","","4","251","PANTHER","1939368"
"Q0250","Cox2p","PTHR22888:SF14","","4","251","PANTHER","1939369"
"Q0250","Cox2p","SSF49503","Cupredoxin","113","251","SUPERFAMILY","1939370"
"Q0250","Cox2p","SSF81464","Cytochrome C oxidase subunit II, transmembrane domain","9","110","SUPERFAMILY","1939371"
"Q0250","Cox2p","TIGR02866","CoxB; Cytochrome c oxidase, subunit II","35","249","TIGRFAM","1939372"
"Q0255","Q0255p","G3DSA:1.10.10.10","Winged helix-turn-helix DNA-binding domain","404","467","GENE3D","1940091"
"Q0255","Q0255p","G3DSA:3.10.28.10","Homing endonuclease","72","209","GENE3D","1940092"
"Q0255","Q0255p","G3DSA:3.10.28.10","Homing endonuclease","210","369","GENE3D","1940093"
"Q0255","Q0255p","PF00961","LAGLIDADG_1; Homing endonuclease, LAGLIDADG","89","182","Pfam","1940094"
"Q0255","Q0255p","PF07453","NUMOD1; Nuclease-associated modular DNA-binding 1","419","454","Pfam","1940095"
"Q0255","Q0255p","PTHR36181","","59","372","PANTHER","1940096"
"Q0255","Q0255p","PTHR36181:SF4","","59","372","PANTHER","1940097"
"Q0255","Q0255p","SM00497","IENR1; Intron encoded nuclease repeat","417","469","SMART","1940098"
"Q0255","Q0255p","SSF55608","Homing endonuclease","79","214","SUPERFAMILY","1940099"
"Q0255","Q0255p","SSF55608","Homing endonuclease","218","382","SUPERFAMILY","1940100"
"Q0275","Cox3p","G3DSA:1.10.287.70","","7","78","GENE3D","1939373"
"Q0275","Cox3p","G3DSA:1.20.120.80","Cytochrome c oxidase, subunit III, 4-helical bundle","79","269","GENE3D","1939374"
"Q0275","Cox3p","PF00510","COX3; Cytochrome c oxidase-like subunit III","12","268","Pfam","1939375"
"Q0275","Cox3p","PS50253","COX3; Cytochrome c oxidase-like subunit III","10","269","PROSITE","1939376"
"Q0275","Cox3p","PTHR11403","Cytochrome c oxidase subunit III","8","268","PANTHER","1939377"
"Q0275","Cox3p","PTHR11403:SF13","","8","268","PANTHER","1939378"
"Q0275","Cox3p","SSF81452","Cytochrome c oxidase-like subunit III","9","268","SUPERFAMILY","1939379"
"R0010W","Flp1p","G3DSA:1.10.443.10","Integrase-like, catalytic domain","152","418","GENE3D","1940004"
"R0010W","Flp1p","G3DSA:3.30.300.80","","22","104","GENE3D","1940005"
"R0010W","Flp1p","PF03930","Flp_N; Recombinase Flp protein, N-terminal","44","128","Pfam","1940006"
"R0010W","Flp1p","PF05202","Flp_C; Recombinase Flp protein","137","379","Pfam","1940007"
"R0010W","Flp1p","SSF47823","Integrase, Lambda-type, N-terminal","2","129","SUPERFAMILY","1940008"
"R0010W","Flp1p","SSF56349","DNA breaking-rejoining enzyme, catalytic core","136","422","SUPERFAMILY","1940009"
"R0020C","Rep1p","PF05797","Rep_4; Yeast trans-acting factor","2","335","Pfam","1940010"
"YAL001C","Tfc3p","PF04182","B-block_TFIIIC; B-block binding subunit of TFIIIC","108","174","Pfam","1955575"
"YAL001C","Tfc3p","PTHR15180","","553","1159","PANTHER","1955576"
"YAL001C","Tfc3p","PTHR15180:SF3","","553","1159","PANTHER","1955577"
"YAL002W","Vps8p","G3DSA:1.25.40.10","Tetratricopeptide-like helical domain","423","867","GENE3D","1962674"
"YAL002W","Vps8p","G3DSA:1.25.40.10","Tetratricopeptide-like helical domain","949","1190","GENE3D","1962675"
"YAL002W","Vps8p","G3DSA:2.130.10.10","WD40/YVTN repeat-like-containing domain","42","376","GENE3D","1962676"
"YAL002W","Vps8p","G3DSA:3.30.40.10","Zinc finger, RING/FYVE/PHD-type","1191","1273","GENE3D","1962677"
"YAL002W","Vps8p","PF12816","Vps8; Vacuolar protein sorting-associated protein 8, central domain","538","735","Pfam","1962678"
"YAL002W","Vps8p","PS50089","ZF_RING_2; Zinc finger, RING-type","1198","1266","PROSITE","1962679"
"YAL002W","Vps8p","PS50236","CHCR; Clathrin, heavy chain/VPS, 7-fold repeat","507","665","PROSITE","1962680"
"YAL002W","Vps8p","PS50236","CHCR; Clathrin, heavy chain/VPS, 7-fold repeat","915","1092","PROSITE","1962681"
"YAL002W","Vps8p","PTHR12616","","1","1274","PANTHER","1962682"
"YAL002W","Vps8p","PTHR12616:SF10","","1","1274","PANTHER","1962683"
"YAL002W","Vps8p","SSF50978","WD40-repeat-containing domain","57","227","SUPERFAMILY","1962684"
"YAL002W","Vps8p","SSF50978","WD40-repeat-containing domain","291","359","SUPERFAMILY","1962685"
"YAL002W","Vps8p","SSF57850","","1181","1270","SUPERFAMILY","1962686"
"YAL003W","Efb1p","G3DSA:1.20.1050.10","","8","124","GENE3D","1952751"
"YAL003W","Efb1p","G3DSA:3.30.70.60","Translation elongation factor EF1B/ribosomal protein S6","125","206","GENE3D","1952752"
"YAL003W","Efb1p","PF00736","EF1_GNE; Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain","123","206","Pfam","1952753"
"YAL003W","Efb1p","PF10587","EF-1_beta_acid; Elongation factor 1 beta central acidic region, eukaryote","83","110","Pfam","1952754"
"YAL003W","Efb1p","PS00824","EF1BD_1; Translation elongation factor EF1B, beta/delta chains, conserved site","77","85","PROSITE","1952755"
"YAL003W","Efb1p","PS00825","EF1BD_2; Translation elongation factor EF1B, beta/delta chains, conserved site","195","206","PROSITE","1952756"
"YAL003W","Efb1p","PTHR11595","","5","206","PANTHER","1952757"
"YAL003W","Efb1p","PTHR11595:SF39","","5","206","PANTHER","1952758"
"YAL003W","Efb1p","SM00888","EF1_GNE; Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain","120","206","SMART","1952759"
"YAL003W","Efb1p","SM01182","EF-1_beta_acid; Elongation factor 1 beta central acidic region, eukaryote","83","110","SMART","1952760"
"YAL003W","Efb1p","SSF47616","Glutathione S-transferase, C-terminal-like","9","58","SUPERFAMILY","1952761"
"YAL003W","Efb1p","SSF54984","Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain","118","206","SUPERFAMILY","1952762"
"YAL004W","Yal004Wp","PF10712","NAD-GH; Glutamate dehydrogenase, NAD-specific","2","215","Pfam","1962687"
"YAL005C","Ssa1p","G3DSA:1.20.1270.10","Heat shock protein 70kD, C-terminal domain","516","616","GENE3D","1944095"
"YAL005C","Ssa1p","G3DSA:2.60.34.10","Heat shock protein 70kD, peptide-binding domain","384","515","GENE3D","1944096"
"YAL005C","Ssa1p","G3DSA:3.30.420.40","","1","198","GENE3D","1944097"
"YAL005C","Ssa1p","G3DSA:3.30.420.40","","199","359","GENE3D","1944098"
"YAL005C","Ssa1p","PF00012","HSP70; Heat shock protein 70 family","4","607","Pfam","1944099"
"YAL005C","Ssa1p","PR00301","HEATSHOCK70; Heat shock protein 70 family","3","16","PRINTS","1944100"
"YAL005C","Ssa1p","PR00301","HEATSHOCK70; Heat shock protein 70 family","31","43","PRINTS","1944101"
"YAL005C","Ssa1p","PR00301","HEATSHOCK70; Heat shock protein 70 family","53","61","PRINTS","1944102"
"YAL005C","Ssa1p","PR00301","HEATSHOCK70; Heat shock protein 70 family","140","160","PRINTS","1944103"
"YAL005C","Ssa1p","PR00301","HEATSHOCK70; Heat shock protein 70 family","200","210","PRINTS","1944104"
